,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
43516,None,278.91,0.0,0.0,1,Clear,sky is clear,4/23/2018 0:00,614,very low
623,None,283.44,0.0,0.0,90,Rain,light rain,10/25/2012 20:00,2856,low
3741,None,260.51,0.0,0.0,90,Snow,heavy snow,2/19/2013 22:00,1489,low
1138,None,271.4,0.0,0.0,90,Clouds,overcast clouds,11/12/2012 14:00,4619,high
5048,None,274.65,0.0,0.0,90,Drizzle,light intensity drizzle,4/12/2013 16:00,6595,very high
41576,None,273.08,0.0,0.0,40,Clouds,scattered clouds,2/17/2018 13:00,4792,high
3672,None,256.66,0.0,0.0,75,Mist,mist,2/17/2013 2:00,613,very low
7272,None,294.55,0.0,0.0,12,Clouds,few clouds,6/28/2013 6:00,5365,high
37696,None,289.99,0.0,0.0,90,Rain,moderate rain,10/3/2017 9:00,5443,high
36382,None,288.01,0.0,0.0,1,Clear,sky is clear,8/18/2017 5:00,2783,low
27176,None,277.572,0.0,0.0,0,Clear,Sky is Clear,10/7/2016 23:00,1766,low
32454,None,287.28,0.0,0.0,75,Clouds,broken clouds,4/7/2017 19:00,4136,medium
39565,None,264.72,0.0,0.0,1,Clear,sky is clear,12/7/2017 0:00,602,very low
7577,None,299.08,0.51,0.0,92,Rain,light rain,7/10/2013 14:00,5876,very high
46883,None,294.03,0.0,0.0,40,Rain,light intensity shower rain,8/20/2018 20:00,2726,low
38363,None,274.75,0.0,0.0,90,Snow,light snow,10/27/2017 0:00,685,very low
36690,None,292.58,0.0,0.0,75,Rain,proximity shower rain,8/27/2017 19:00,3035,medium
23954,None,286.59,0.0,0.0,1,Clear,sky is clear,6/5/2016 1:00,913,very low
44240,None,286.28,0.0,0.0,1,Clear,sky is clear,5/20/2018 11:00,4300,medium
11980,None,263.66,0.0,0.0,75,Clouds,broken clouds,2/3/2014 13:00,4551,high
43832,None,298.5,0.0,0.0,40,Clouds,scattered clouds,5/5/2018 14:00,4394,high
19125,None,277.17,0.0,0.0,1,Clear,sky is clear,10/22/2015 1:00,358,very low
18,None,281.09,0.0,0.0,1,Clear,sky is clear,10/3/2012 3:00,367,very low
38295,None,283.42,0.0,0.0,5,Clear,sky is clear,10/24/2017 17:00,6231,very high
45020,None,298.28,0.0,0.0,1,Rain,proximity shower rain,6/16/2018 15:00,4363,medium
40645,None,264.54,0.0,0.0,90,Mist,mist,1/14/2018 19:00,1800,low
25657,None,300.59,0.0,0.0,76,Clouds,broken clouds,8/11/2016 15:00,5365,high
45651,None,295.08,0.0,0.0,1,Clear,sky is clear,7/8/2018 1:00,786,very low
47057,None,293.86,1.02,0.0,5,Rain,moderate rain,8/25/2018 21:00,3156,medium
36319,None,297.77,0.0,0.0,90,Rain,light rain,8/16/2017 18:00,4644,high
16010,None,292.11,0.0,0.0,1,Clear,sky is clear,6/25/2015 23:00,1507,low
5472,None,271.68,0.0,0.0,90,Clouds,overcast clouds,4/24/2013 6:00,5994,very high
18973,None,281.43,0.0,0.0,90,Clouds,overcast clouds,10/12/2015 23:00,864,very low
37321,None,296.28,0.0,0.0,20,Clouds,few clouds,9/20/2017 16:00,6616,very high
12656,None,259.43,0.0,0.0,75,Clouds,broken clouds,3/3/2014 14:00,4896,high
14844,None,291.37,0.66,0.0,1,Rain,moderate rain,6/2/2014 8:00,6252,very high
32616,None,282.09,0.0,0.0,90,Mist,mist,4/12/2017 21:00,2390,low
11939,None,259.49,0.0,0.0,0,Clear,sky is clear,2/1/2014 20:00,2743,low
23717,None,288.56,0.0,0.0,90,Fog,fog,5/28/2016 6:00,1498,low
18238,None,292.07,0.0,0.0,1,Clear,sky is clear,9/13/2015 20:00,3155,medium
25846,None,295.07,0.0,0.0,80,Clouds,broken clouds,8/19/2016 12:00,5330,high
16060,None,292.55,0.79,0.0,90,Rain,moderate rain,6/28/2015 0:00,1447,very low
24708,None,292.84,1.78,0.0,90,Rain,moderate rain,7/5/2016 21:00,1752,low
13696,None,273.21,0.0,0.0,90,Clouds,overcast clouds,4/16/2014 5:00,2728,low
21621,None,274.48,0.0,0.0,90,Rain,light rain,3/5/2016 1:00,710,very low
18264,None,295.1,0.0,0.0,1,Clear,sky is clear,9/14/2015 23:00,932,very low
41604,None,278.55,0.0,0.0,90,Clouds,overcast clouds,2/18/2018 17:00,4136,medium
45479,None,292.15,0.0,0.0,90,Rain,heavy intensity rain,7/1/2018 12:00,3696,medium
2716,None,266.49,0.0,0.0,1,Haze,haze,1/6/2013 12:00,3441,medium
4659,None,278.13,0.0,0.0,75,Rain,light rain,3/30/2013 23:00,2082,low
26960,None,283.55,0.0,0.0,0,Clear,Sky is Clear,9/29/2016 0:00,420,very low
8032,None,288.55,0.0,0.0,32,Clouds,scattered clouds,7/29/2013 22:00,1736,low
18856,None,285.84,3.13,0.0,90,Rain,heavy intensity rain,10/8/2015 4:00,892,very low
46086,None,294.82,0.0,0.0,20,Clouds,few clouds,7/22/2018 22:00,2224,low
11383,None,271.23,0.0,0.0,64,Clouds,broken clouds,1/11/2014 12:00,4554,high
13787,None,284.66,0.84,0.0,90,Rain,light rain,4/20/2014 0:00,1043,very low
16346,None,294.68,0.0,0.0,40,Smoke,smoke,7/6/2015 17:00,5861,very high
15295,None,293.08,0.0,0.0,1,Clear,sky is clear,7/7/2014 3:00,395,very low
21209,None,261.08,0.0,0.0,90,Clouds,overcast clouds,2/10/2016 19:00,3296,medium
23959,None,285.69,0.0,0.0,1,Clear,sky is clear,6/5/2016 6:00,1003,very low
12616,None,252.02,0.0,0.0,75,Clouds,broken clouds,3/1/2014 22:00,2666,low
42300,None,269.15,0.0,0.0,1,Clear,sky is clear,3/13/2018 4:00,865,very low
47237,None,294.61,0.25,0.0,75,Rain,light rain,8/31/2018 1:00,456,very low
31618,None,269.16,0.0,0.0,40,Clouds,scattered clouds,3/9/2017 19:00,3494,medium
10665,None,260.86,0.0,0.0,90,Snow,light snow,12/14/2013 4:00,432,very low
19789,None,271.46,0.0,0.0,90,Snow,light snow,12/2/2015 4:00,877,very low
28801,None,273.15,0.0,0.0,75,Snow,light snow,12/4/2016 5:00,388,very low
46826,None,292.49,0.0,0.0,1,Clear,sky is clear,8/19/2018 2:00,726,very low
32518,None,282.36,0.0,0.0,90,Clouds,overcast clouds,4/10/2017 5:00,2614,low
26460,None,292.42,0.0,0.0,75,Rain,light rain,9/8/2016 21:00,2534,low
27567,None,274.547,0.0,0.0,32,Clouds,scattered clouds,10/24/2016 23:00,874,very low
3608,None,274.01,0.0,0.0,90,Mist,mist,2/14/2013 19:00,3330,medium
4761,None,274.33,0.0,0.0,1,Clear,sky is clear,4/3/2013 19:00,3361,medium
12606,None,254.65,0.0,0.0,90,Clouds,overcast clouds,3/1/2014 12:00,4641,high
28816,None,275.28,0.0,0.0,90,Drizzle,light intensity drizzle,12/4/2016 15:00,4502,high
4285,None,263.29,0.0,0.0,1,Clear,sky is clear,3/14/2013 6:00,4336,medium
11534,None,259.79,0.0,0.0,64,Clouds,broken clouds,1/16/2014 17:00,5917,very high
26514,None,288.38,0.0,0.0,1,Clear,sky is clear,9/10/2016 20:00,3376,medium
42594,None,277.0,0.0,0.0,1,Clear,sky is clear,3/24/2018 19:00,3788,medium
40224,None,251.54,0.0,0.0,40,Clouds,scattered clouds,12/30/2017 17:00,4376,high
6059,None,286.21,0.0,0.0,40,Clouds,scattered clouds,5/16/2013 7:00,6642,very high
24001,None,287.96,0.0,0.0,20,Clouds,few clouds,6/6/2016 23:00,1095,very low
45674,None,297.89,0.0,0.0,1,Clear,sky is clear,7/9/2018 0:00,676,very low
19892,None,276.49,0.0,0.0,90,Drizzle,light intensity drizzle,12/8/2015 20:00,2669,low
43788,None,295.35,0.0,0.0,90,Clouds,overcast clouds,5/3/2018 18:00,5019,high
13045,None,269.49,0.0,0.0,20,Clouds,few clouds,3/20/2014 1:00,328,very low
27696,None,273.613,0.0,0.0,0,Clear,Sky is Clear,10/30/2016 8:00,1692,low
14833,None,291.36,0.0,0.0,24,Mist,mist,6/2/2014 3:00,401,very low
7688,None,295.63,0.0,0.0,12,Clouds,few clouds,7/14/2013 21:00,2921,medium
9517,None,277.78,0.0,0.0,0,Clear,Sky is Clear,10/17/2013 8:00,5413,high
20001,None,274.42,0.0,0.0,90,Snow,light snow,12/14/2015 17:00,5739,high
34178,None,284.39,0.0,0.0,5,Clear,sky is clear,6/1/2017 8:00,5949,very high
40059,None,256.28,0.0,0.0,90,Snow,light snow,12/25/2017 2:00,487,very low
17872,None,295.96,0.0,0.0,1,Haze,haze,8/31/2015 23:00,1122,very low
12404,None,260.65,0.0,0.0,90,Clouds,overcast clouds,2/21/2014 5:00,1780,low
21032,None,260.93,0.0,0.0,90,Snow,light snow,2/4/2016 4:00,905,very low
29146,None,251.21,0.0,0.0,1,Clear,sky is clear,12/15/2016 5:00,2613,low
15664,None,301.36,0.0,0.0,40,Clouds,scattered clouds,7/21/2014 11:00,4698,high
46484,None,294.22,0.0,0.0,90,Mist,mist,8/6/2018 10:00,4357,medium
31189,None,281.43,0.0,0.0,1,Clear,sky is clear,2/21/2017 22:00,3237,medium
5614,None,285.43,0.0,0.0,75,Clouds,broken clouds,4/30/2013 2:00,275,very low
28646,None,275.82,0.0,0.0,90,Rain,light rain,11/29/2016 19:00,2807,low
8334,None,289.19,0.0,0.0,0,Clear,Sky is Clear,8/11/2013 3:00,441,very low
22680,None,287.83,0.0,0.0,40,Clouds,scattered clouds,4/22/2016 18:00,4910,high
10133,None,276.793,0.0,0.0,64,Clouds,broken clouds,11/25/2013 21:00,2070,low
15254,None,301.97,0.0,0.0,1,Clear,sky is clear,7/5/2014 18:00,3208,medium
14869,None,289.11,0.0,0.0,1,Clear,sky is clear,6/3/2014 8:00,6294,very high
42778,None,272.15,0.0,0.0,90,Snow,heavy snow,3/31/2018 2:00,485,very low
44370,None,292.15,0.0,0.0,40,Thunderstorm,proximity thunderstorm,5/25/2018 5:00,2645,low
28102,None,277.46,0.0,0.0,75,Haze,haze,11/15/2016 9:00,5325,high
23993,None,292.16,0.0,0.0,90,Rain,proximity shower rain,6/6/2016 15:00,5519,high
27735,None,287.606,0.0,0.0,0,Clear,Sky is Clear,10/31/2016 23:00,1019,very low
10982,None,266.77,0.0,0.0,64,Clouds,broken clouds,12/26/2013 11:00,4017,medium
31513,None,283.77,0.0,0.0,90,Clouds,overcast clouds,3/5/2017 18:00,3749,medium
6251,None,293.71,0.0,0.0,90,Rain,light rain,5/21/2013 13:00,4898,high
13739,None,271.12,0.0,0.0,1,Clear,sky is clear,4/18/2014 0:00,751,very low
23693,None,290.92,0.0,0.0,90,Rain,light rain,5/27/2016 16:00,5597,high
12331,None,267.4,0.0,0.0,40,Clouds,scattered clouds,2/18/2014 4:00,795,very low
1069,None,280.33,0.0,0.0,90,Clouds,overcast clouds,11/10/2012 23:00,2239,low
32000,None,276.35,0.0,0.0,90,Rain,light rain,3/24/2017 2:00,313,very low
47849,None,287.24,3.45,0.0,90,Rain,moderate rain,9/19/2018 11:00,4567,high
30944,None,278.88,0.0,0.0,1,Clear,sky is clear,2/11/2017 15:00,4815,high
26495,None,289.46,0.0,0.0,40,Drizzle,light intensity drizzle,9/10/2016 1:00,986,very low
46980,None,291.78,0.38,0.0,90,Rain,light rain,8/24/2018 8:00,5687,high
37190,None,297.01,0.0,0.0,1,Clear,sky is clear,9/15/2017 23:00,2496,low
3401,None,259.1,0.0,0.0,40,Clouds,scattered clouds,2/7/2013 1:00,384,very low
35386,None,300.95,0.0,0.0,40,Clouds,scattered clouds,7/16/2017 17:00,4069,medium
17680,None,287.62,0.0,0.0,75,Clouds,broken clouds,8/24/2015 2:00,268,very low
5567,None,280.41,0.0,0.0,1,Clear,sky is clear,4/28/2013 3:00,390,very low
47791,None,288.54,2.41,0.0,90,Rain,moderate rain,9/18/2018 6:00,5642,high
17226,None,294.11,0.0,0.0,1,Rain,light rain,8/9/2015 3:00,407,very low
1659,None,273.38,0.0,0.0,1,Mist,mist,12/3/2012 1:00,273,very low
10767,None,262.87,0.0,0.0,64,Clouds,broken clouds,12/18/2013 6:00,5747,high
23824,None,291.48,0.0,0.0,90,Rain,light rain,5/31/2016 10:00,4368,high
47959,None,283.95,0.0,0.0,90,Rain,proximity shower rain,9/21/2018 10:00,4548,high
47974,None,278.94,0.0,0.0,1,Clear,sky is clear,9/22/2018 1:00,1273,very low
36191,None,298.35,0.0,0.0,75,Clouds,broken clouds,8/12/2017 18:00,4448,high
7130,None,293.51,6.94,0.0,90,Thunderstorm,thunderstorm with heavy rain,6/22/2013 4:00,400,very low
19529,None,282.75,0.0,0.0,90,Thunderstorm,proximity thunderstorm with rain,11/17/2015 6:00,5414,high
39482,None,282.55,0.0,0.0,90,Drizzle,light intensity drizzle,12/4/2017 17:00,5912,very high
34372,None,289.28,0.0,0.0,1,Clear,sky is clear,6/9/2017 7:00,6350,very high
45445,None,301.55,0.0,0.0,75,Clouds,broken clouds,6/30/2018 12:00,4776,high
24555,None,291.84,0.0,0.0,1,Clear,sky is clear,6/29/2016 22:00,1926,low
31346,None,279.27,0.0,0.0,75,Clouds,broken clouds,2/27/2017 16:00,6516,very high
22508,None,290.44,0.0,0.0,1,Clear,sky is clear,4/17/2016 2:00,648,very low
39356,None,276.84,0.0,0.0,1,Clear,sky is clear,11/30/2017 6:00,5862,very high
14380,None,284.17,0.0,0.0,56,Clouds,broken clouds,5/16/2014 20:00,3117,medium
3702,None,260.75,0.0,0.0,1,Clear,sky is clear,2/18/2013 5:00,2231,low
9248,None,286.33,0.0,0.0,92,Mist,mist,10/3/2013 23:00,1409,very low
28169,None,280.82,0.0,0.0,75,Rain,light rain,11/18/2016 1:00,389,very low
23216,None,285.79,0.0,0.0,90,Haze,haze,5/10/2016 15:00,5772,high
40750,None,268.41,0.0,0.0,1,Clear,sky is clear,1/18/2018 1:00,352,very low
21352,None,265.22,0.0,0.0,1,Clear,sky is clear,2/17/2016 10:00,4598,high
34683,None,289.28,0.0,0.0,40,Rain,light rain,6/20/2017 9:00,5033,high
8561,None,296.34,0.0,0.0,68,Clouds,broken clouds,8/21/2013 9:00,5371,high
30713,None,263.65,0.0,0.0,40,Clouds,scattered clouds,2/2/2017 13:00,4801,high
21604,None,271.58,0.0,0.0,1,Clear,sky is clear,3/4/2016 7:00,6677,very high
11381,None,269.89,0.0,0.0,64,Mist,mist,1/11/2014 10:00,3332,medium
18941,None,296.42,0.0,0.0,1,Clear,sky is clear,10/11/2015 19:00,2228,low
17783,None,290.79,0.0,0.0,90,Rain,moderate rain,8/28/2015 8:00,5878,very high
30875,None,261.59,0.0,0.0,8,Clear,sky is clear,2/8/2017 18:00,4966,high
23827,None,292.62,0.0,0.0,90,Rain,light rain,5/31/2016 11:00,4698,high
31847,None,274.42,0.0,0.0,90,Clouds,overcast clouds,3/18/2017 13:00,5059,high
18054,None,298.31,0.0,0.0,1,Clear,sky is clear,9/7/2015 13:00,4408,high
4086,None,269.46,0.0,0.0,90,Clouds,overcast clouds,3/5/2013 16:00,4805,high
47610,None,301.14,0.0,0.0,75,Rain,light rain,9/11/2018 17:00,5859,very high
40834,None,274.44,0.0,0.0,75,Clouds,broken clouds,1/21/2018 10:00,3355,medium
29521,None,266.43,0.0,0.0,90,Snow,light shower snow,12/26/2016 15:00,3946,medium
14250,None,288.8,4.89,0.0,90,Rain,heavy intensity rain,5/12/2014 2:00,260,very low
535,None,285.7,0.0,0.0,90,Clouds,overcast clouds,10/23/2012 22:00,1613,low
35532,None,294.73,0.0,0.0,1,Mist,mist,7/20/2017 23:00,1525,low
13094,None,264.33,0.0,0.0,20,Clouds,few clouds,3/22/2014 2:00,534,very low
35117,None,296.15,0.0,0.0,90,Rain,light rain,7/6/2017 7:00,6182,very high
23189,None,283.33,1.55,0.0,90,Rain,moderate rain,5/10/2016 4:00,828,very low
28705,None,275.77,0.0,0.0,90,Drizzle,drizzle,11/30/2016 19:00,2980,medium
13518,None,282.78,0.0,0.0,20,Clouds,few clouds,4/8/2014 19:00,3357,medium
30576,None,268.81,0.0,0.0,90,Clouds,overcast clouds,1/29/2017 4:00,294,very low
24444,None,297.84,0.0,0.0,1,Clear,sky is clear,6/25/2016 8:00,2806,low
28590,None,283.82,0.0,0.0,90,Rain,light rain,11/28/2016 9:00,4477,high
742,None,273.26,0.0,0.0,75,Clouds,broken clouds,10/29/2012 9:00,5246,high
18844,None,288.32,0.0,0.0,1,Clear,sky is clear,10/7/2015 18:00,4763,high
45865,None,293.55,0.0,0.0,1,Mist,mist,7/15/2018 4:00,366,very low
47731,None,304.55,0.0,0.0,40,Clouds,scattered clouds,9/16/2018 15:00,4101,medium
9045,None,291.88,0.0,0.0,40,Mist,mist,9/19/2013 21:00,2922,medium
19032,None,283.95,0.0,0.0,1,Clear,sky is clear,10/15/2015 20:00,2819,low
35857,None,300.3,0.0,0.0,5,Clear,sky is clear,8/1/2017 20:00,3023,medium
47001,None,292.56,2.2,0.0,90,Rain,heavy intensity rain,8/24/2018 14:00,5499,high
37422,None,302.34,0.0,0.0,75,Clouds,broken clouds,9/24/2017 19:00,3910,medium
25991,None,299.5,0.0,0.0,1,Clear,sky is clear,8/24/2016 13:00,4675,high
22158,None,277.8,0.0,0.0,75,Rain,light rain,3/31/2016 7:00,6284,very high
14279,None,284.68,0.43,0.0,90,Drizzle,drizzle,5/12/2014 18:00,4298,medium
43399,None,272.46,0.0,0.0,1,Thunderstorm,proximity thunderstorm,4/18/2018 6:00,5943,very high
9340,None,280.88,0.0,0.0,90,Mist,mist,10/7/2013 3:00,344,very low
36506,None,291.15,0.0,0.0,1,Clear,sky is clear,8/22/2017 3:00,390,very low
17352,None,298.34,0.0,0.0,1,Clear,sky is clear,8/13/2015 20:00,3080,medium
33962,None,288.02,0.0,0.0,75,Rain,proximity shower rain,5/23/2017 16:00,6349,very high
40570,None,251.84,0.0,0.0,1,Clear,sky is clear,1/12/2018 4:00,828,very low
45455,None,298.48,0.0,0.0,75,Clouds,broken clouds,6/30/2018 22:00,2760,low
31194,None,276.66,0.0,0.0,1,Mist,mist,2/22/2017 2:00,313,very low
1670,None,271.33,0.0,0.0,90,Mist,mist,12/3/2012 8:00,5800,high
20428,None,270.18,0.0,0.0,1,Clear,sky is clear,1/5/2016 18:00,4306,medium
16508,None,292.22,7.29,0.0,75,Thunderstorm,thunderstorm,7/13/2015 1:00,374,very low
32192,None,281.62,0.0,0.0,90,Rain,light rain,3/29/2017 19:00,3355,medium
7772,None,298.58,0.0,0.0,64,Clouds,broken clouds,7/19/2013 1:00,679,very low
33532,None,280.73,0.0,0.0,1,Clear,sky is clear,5/11/2017 7:00,6454,very high
27450,None,281.82099999999997,0.0,0.0,12,Clouds,few clouds,10/19/2016 19:00,3318,medium
32510,None,286.03,0.0,0.0,75,Thunderstorm,proximity thunderstorm,4/9/2017 22:00,1831,low
22087,None,276.37,0.0,0.0,1,Clear,sky is clear,3/27/2016 20:00,2275,low
34459,None,291.09,0.0,0.0,90,Fog,fog,6/12/2017 4:00,880,very low
46570,None,299.74,0.0,0.0,5,Clear,sky is clear,8/9/2018 11:00,4675,high
9175,None,286.55,0.0,0.0,90,Rain,moderate rain,9/28/2013 11:00,5208,high
43835,None,299.82,0.0,0.0,40,Clouds,scattered clouds,5/5/2018 17:00,4539,high
29855,None,253.49,0.0,0.0,1,Clear,sky is clear,1/8/2017 2:00,663,very low
8913,None,289.5,0.0,0.0,1,Clear,sky is clear,9/13/2013 10:00,4689,high
21565,None,264.51,0.0,0.0,90,Snow,light snow,3/1/2016 4:00,831,very low
5984,None,274.77,0.0,0.0,1,Clear,sky is clear,5/13/2013 4:00,718,very low
35584,None,303.36,0.0,0.0,40,Clouds,scattered clouds,7/22/2017 19:00,3608,medium
42828,None,271.95,0.0,0.0,40,Clouds,scattered clouds,4/1/2018 18:00,4424,high
43499,None,272.86,0.0,0.0,5,Mist,mist,4/22/2018 7:00,1289,very low
8567,None,303.69,0.0,0.0,0,Clear,Sky is Clear,8/21/2013 16:00,6702,very high
27688,None,279.26099999999997,0.0,0.0,48,Clouds,scattered clouds,10/30/2016 0:00,1289,very low
37286,None,288.65,0.0,0.0,20,Mist,mist,9/19/2017 7:00,6434,very high
9104,None,284.89,0.0,0.0,0,Mist,mist,9/25/2013 2:00,241,very low
39674,None,270.81,0.0,0.0,90,Mist,mist,12/11/2017 5:00,2907,low
2460,None,265.92,0.0,0.0,90,Mist,mist,12/28/2012 21:00,2614,low
42649,None,274.51,0.0,0.0,90,Mist,mist,3/26/2018 18:00,4041,medium
8007,None,287.8,0.51,0.0,92,Rain,light rain,7/28/2013 20:00,3204,medium
2717,None,267.71,0.0,0.0,20,Haze,haze,1/6/2013 13:00,3840,medium
4118,None,269.42,0.0,0.0,90,Clouds,overcast clouds,3/6/2013 20:00,3072,medium
16964,None,296.05,0.0,0.0,1,Clear,sky is clear,7/29/2015 21:00,2975,medium
37596,None,292.02,0.0,0.0,20,Clouds,few clouds,9/30/2017 18:00,4477,high
19308,None,290.15,0.0,0.0,1,Clear,sky is clear,11/3/2015 12:00,5042,high
14376,None,284.68,0.0,0.0,48,Clouds,scattered clouds,5/16/2014 16:00,6361,very high
33818,None,282.69,0.0,0.0,90,Clouds,overcast clouds,5/20/2017 2:00,557,very low
26744,None,287.26,0.0,0.0,0,Clear,Sky is Clear,9/19/2016 23:00,898,very low
17929,None,292.59,0.0,0.0,1,Fog,fog,9/3/2015 5:00,3010,medium
22095,None,271.14,0.0,0.0,90,Fog,fog,3/28/2016 5:00,2584,low
25361,None,296.28,0.0,0.0,90,Clouds,overcast clouds,7/30/2016 11:00,1967,low
42145,None,264.68,0.0,0.0,1,Clear,sky is clear,3/7/2018 10:00,4619,high
24474,None,300.91,0.0,0.0,1,Clear,sky is clear,6/26/2016 13:00,4403,high
29815,None,251.08,0.0,0.0,5,Clear,sky is clear,1/6/2017 10:00,4484,high
37943,None,284.15,0.0,0.0,90,Clouds,overcast clouds,10/11/2017 12:00,4874,high
24236,None,299.11,0.0,0.0,0,Clear,Sky is Clear,6/16/2016 18:00,4870,high
5749,None,275.66,0.0,0.0,90,Mist,mist,5/4/2013 14:00,4978,high
5737,None,273.48,0.0,0.0,90,Snow,heavy snow,5/4/2013 9:00,4037,medium
10094,None,259.15,0.0,0.0,1,Clear,sky is clear,11/24/2013 3:00,361,very low
37921,None,283.29,0.0,0.0,1,Clear,sky is clear,10/10/2017 14:00,5293,high
7866,None,299.28,0.0,0.0,0,Clear,Sky is Clear,7/22/2013 18:00,4331,medium
32731,None,288.61,0.0,0.0,90,Drizzle,drizzle,4/15/2017 11:00,4605,high
32418,None,274.28,0.0,0.0,1,Clear,sky is clear,4/6/2017 6:00,5624,high
36034,None,297.28,0.0,0.0,40,Clouds,scattered clouds,8/7/2017 13:00,4900,high
31290,None,263.4,0.0,0.0,1,Clear,sky is clear,2/25/2017 8:00,2985,medium
40968,None,270.08,0.0,0.0,90,Mist,mist,1/25/2018 17:00,5883,very high
19144,None,283.07,0.0,0.0,1,Rain,light rain,10/23/2015 0:00,652,very low
43185,None,277.15,0.0,0.0,90,Rain,light rain,4/13/2018 14:00,5330,high
28413,None,275.34,0.0,0.0,90,Haze,haze,11/24/2016 15:00,2915,medium
2450,None,266.16,0.0,0.0,90,Mist,mist,12/28/2012 16:00,5441,high
24384,None,294.82,0.0,0.0,12,Clouds,few clouds,6/22/2016 22:00,2202,low
40492,None,274.95,0.0,0.0,90,Haze,haze,1/10/2018 9:00,5145,high
6816,None,285.18,0.0,0.0,32,Mist,mist,6/9/2013 6:00,831,very low
30068,None,266.2,0.0,0.0,5,Clear,sky is clear,1/15/2017 12:00,4093,medium
9080,None,292.46,0.0,0.0,1,Clear,sky is clear,9/22/2013 19:00,3642,medium
47477,None,283.88,2.29,0.0,1,Mist,mist,9/6/2018 5:00,3036,medium
29389,None,274.21,0.0,0.0,90,Rain,light rain,12/23/2016 14:00,4651,high
19863,None,272.58,0.0,0.0,90,Mist,mist,12/7/2015 1:00,318,very low
