PollutionR,AcessR,FishingR,Brown frogs,SurfaceR,TypeR,RoadDistanceR,BuildingR,VegetationR,Green frogs,UseR,ShoreR
0,100,1,1,10000,a,5,5,3,1,0,natural
0,75,0,1,300,j,0,5,1,0,0,natural
0,100,0,1,7000,a,0,1,3,0,0,natural
0,25,0,1,1700,a,0,0,3,1,0,natural
0,100,0,1,300,j,9,5,1,0,0,natural
0,50,2,1,2600,a,0,1,2,1,3,natural
0,100,0,1,3000,a,5,2,3,1,0,natural
0,50,0,1,2000,a,0,0,3,1,0,natural
0,100,0,1,1700,a,0,0,3,0,0,natural
0,99,0,1,300,a,2,2,4,0,0,natural
0,100,0,1,300,a,2,1,3,1,0,natural
0,100,0,1,250,e,2,5,1,1,0,natural
0,100,0,1,50000,a,2,2,4,1,0,natural
0,100,1,1,10050,a,5,5,2,0,0,natural
0,100,0,0,1000,a,2,5,3,0,0,natural
0,75,0,0,1000,a,0,0,2,0,0,natural
0,100,0,1,100,a,9,9,1,0,0,natural
0,75,0,1,200,h,1,0,4,0,0,natural
0,25,1,1,450,a,1,1,1,1,0,natural
0,100,2,1,40000,a,5,0,1,1,3,natural
0,100,0,0,300,a,5,1,3,0,0,natural
0,50,0,1,50,a,0,0,1,0,0,natural
0,100,4,1,1100,a,2,2,0,0,3,natural
0,100,0,1,500,a,5,5,4,1,0,natural
0,100,4,1,26000,a,1,2,1,1,3,natural
0,100,0,1,350,a,1,1,2,1,0,natural
0,100,0,1,8000,a,9,9,3,0,0,natural
0,50,0,1,600,a,0,0,4,0,0,natural
0,75,0,1,2500,a,0,2,3,0,0,natural
0,50,1,1,750,d,1,0,1,0,0,natural
0,100,0,1,300,a,2,2,1,0,0,natural
0,100,0,1,200,h,1,2,3,0,0,natural
0,50,0,1,300,h,2,5,2,0,0,natural
0,100,3,1,29000,a,2,0,2,1,3,natural
0,75,1,1,10000,a,0,0,0,0,0,natural
0,100,0,0,300,j,5,5,1,0,0,natural
0,100,0,0,80000,h,5,5,4,1,0,natural
0,75,0,1,2300,h,2,1,3,0,0,natural
0,100,1,1,3000,a,5,5,3,1,0,natural
0,100,0,1,300,i,5,5,2,1,0,natural
0,100,2,1,5000,a,5,5,0,1,3,natural
0,100,3,1,1500,a,2,2,1,1,3,natural
0,100,0,1,2500,a,5,1,4,1,0,natural
0,100,0,0,100,a,1,2,4,1,0,natural
0,100,1,1,600,a,1,0,1,1,3,natural
0,100,0,1,300,j,0,1,0,0,0,natural
0,100,0,1,300,j,1,1,1,0,0,natural
0,100,0,0,300,j,0,2,1,0,0,natural
0,100,2,1,1500,b,5,0,2,0,1,natural
0,100,0,1,1000,h,5,9,4,0,0,natural
0,100,0,1,300,g,10,10,3,1,0,natural
0,50,3,0,7000,a,1,5,1,1,3,natural
0,100,0,1,1400,a,5,5,1,1,0,natural
0,100,0,1,300,j,1,1,1,0,1,natural
0,100,0,1,300,j,1,1,1,0,0,natural
0,100,0,1,1900,h,5,5,4,1,0,natural
0,100,1,1,1300,a,1,1,0,0,3,natural
0,50,0,0,2100,a,0,1,3,0,0,natural
0,100,0,1,300,h,2,5,4,0,0,natural
0,75,0,1,2500,a,0,0,3,1,0,natural
0,100,0,1,3300,a,5,5,3,0,0,natural
0,100,0,1,500,h,5,5,4,1,0,natural
0,100,0,1,4000,a,5,5,3,1,0,natural
0,100,0,1,300,j,0,1,1,0,0,natural
0,100,2,1,8000,a,0,2,2,1,3,natural
0,25,0,0,1500,a,0,0,0,1,3,natural
0,100,3,0,9100,a,5,5,0,1,3,natural
0,75,0,1,1000,i,1,2,2,0,0,natural
0,100,1,0,2500,a,0,1,3,1,0,natural
2,100,0,0,100,a,2,2,2,1,0,natural
0,100,0,1,500,i,2,2,1,1,0,natural
0,100,0,1,300,h,2,0,3,0,0,natural
0,100,3,1,350,a,1,1,0,1,1,natural
0,100,0,1,300,j,9,9,3,0,0,natural
0,75,0,0,400,d,2,0,1,0,1,natural
0,100,2,1,900,a,2,2,1,1,3,natural
0,100,4,1,115000,a,0,1,0,1,3,natural
1,50,0,1,200,a,1,1,3,1,0,concrete
0,100,0,1,22000,a,0,0,4,1,0,natural
