660,ham,spaghetti,mineral water,energy bar,eggs,cooking oil,pancakes,fresh bread,low fat yogurt,,,,,,,,,,,
276,french fries,strawberries,,,,,,,,,,,,,,,,,,
3432,burgers,milk,eggs,chocolate,french fries,,,,,,,,,,,,,,,
6511,eggs,green tea,,,,,,,,,,,,,,,,,,
6328,whole wheat pasta,spaghetti,milk,,,,,,,,,,,,,,,,,
1104,burgers,french wine,eggs,green beans,clothes accessories,,,,,,,,,,,,,,,
5960,burgers,ham,whole wheat pasta,mineral water,olive oil,honey,frozen smoothie,cottage cheese,brownies,,,,,,,,,,,
7209,strawberries,green tea,,,,,,,,,,,,,,,,,,
4141,turkey,burgers,frozen vegetables,ground beef,mineral water,almonds,salmon,barbecue sauce,carrots,hot dogs,,,,,,,,,,
2596,cookies,honey,,,,,,,,,,,,,,,,,,
5203,ground beef,olive oil,,,,,,,,,,,,,,,,,,
3720,cookies,honey,,,,,,,,,,,,,,,,,,
2052,turkey,chocolate,eggs,gums,champagne,green tea,,,,,,,,,,,,,,
6713,turkey,spaghetti,,,,,,,,,,,,,,,,,,
4515,turkey,frozen vegetables,spaghetti,mineral water,chocolate,vegetables mix,frozen smoothie,,,,,,,,,,,,,
3004,shrimp,spaghetti,chocolate,eggs,,,,,,,,,,,,,,,,
2440,burgers,pepper,,,,,,,,,,,,,,,,,,
3739,energy bar,vegetables mix,energy drink,light mayo,,,,,,,,,,,,,,,,
7375,mineral water,black tea,eggs,fresh bread,mint,,,,,,,,,,,,,,,
2425,spaghetti,strong cheese,,,,,,,,,,,,,,,,,,
467,herb & pepper,shrimp,frozen vegetables,milk,butter,salmon,eggs,chocolate,,,,,,,,,,,,
2319,mineral water,eggs,,,,,,,,,,,,,,,,,,
94,ham,soup,escalope,body spray,,,,,,,,,,,,,,,,
3839,french fries,,,,,,,,,,,,,,,,,,,
3389,eggs,frozen smoothie,escalope,cookies,pancakes,,,,,,,,,,,,,,,
903,frozen vegetables,tomatoes,spaghetti,chicken,french fries,escalope,,,,,,,,,,,,,,
4928,grated cheese,ground beef,mineral water,pancakes,rice,ketchup,tomato juice,low fat yogurt,,,,,,,,,,,,
752,turkey,grated cheese,honey,green beans,french fries,,,,,,,,,,,,,,,
3077,mineral water,,,,,,,,,,,,,,,,,,,
4791,ground beef,spaghetti,chicken,pancakes,,,,,,,,,,,,,,,,
5651,whole wheat pasta,spaghetti,meatballs,milk,chocolate,,,,,,,,,,,,,,,
3940,red wine,parmesan cheese,ground beef,spaghetti,hand protein bar,cauliflower,mint,,,,,,,,,,,,,
3743,milk,chocolate,,,,,,,,,,,,,,,,,,
2436,mineral water,,,,,,,,,,,,,,,,,,,
403,candy bars,,,,,,,,,,,,,,,,,,,
1754,chocolate,cookies,green tea,,,,,,,,,,,,,,,,,
3241,dessert wine,whole wheat rice,chocolate,cookies,,,,,,,,,,,,,,,,
426,eggs,,,,,,,,,,,,,,,,,,,
4465,grated cheese,french fries,frozen smoothie,escalope,pasta,,,,,,,,,,,,,,,
4639,salmon,,,,,,,,,,,,,,,,,,,
3184,honey,,,,,,,,,,,,,,,,,,,
2428,shrimp,tomatoes,spaghetti,mineral water,chocolate,milk,bug spray,,,,,,,,,,,,,
6158,cookies,,,,,,,,,,,,,,,,,,,
3918,herb & pepper,ground beef,spaghetti,mineral water,soup,cream,pancakes,french fries,frozen smoothie,,,,,,,,,,,
4057,cookies,,,,,,,,,,,,,,,,,,,
1447,eggs,french fries,energy drink,light mayo,low fat yogurt,,,,,,,,,,,,,,,
5168,yogurt cake,,,,,,,,,,,,,,,,,,,
3532,candy bars,,,,,,,,,,,,,,,,,,,
1562,french fries,,,,,,,,,,,,,,,,,,,
5958,spaghetti,cake,pancakes,white wine,,,,,,,,,,,,,,,,
6062,herb & pepper,frozen vegetables,ground beef,mineral water,eggs,chocolate,hot dogs,,,,,,,,,,,,,
4947,salmon,eggs,,,,,,,,,,,,,,,,,,
2172,butter,pancakes,chicken,frozen smoothie,low fat yogurt,,,,,,,,,,,,,,,
7178,green tea,,,,,,,,,,,,,,,,,,,
4287,shrimp,whole wheat pasta,milk,chocolate,french fries,frozen smoothie,pancakes,energy drink,green tea,,,,,,,,,,,
4251,burgers,grated cheese,mineral water,cake,,,,,,,,,,,,,,,,
7431,eggs,eggplant,french fries,low fat yogurt,,,,,,,,,,,,,,,,
4050,cookies,,,,,,,,,,,,,,,,,,,
5301,muffins,,,,,,,,,,,,,,,,,,,
2135,burgers,olive oil,honey,extra dark chocolate,,,,,,,,,,,,,,,,
4421,mint green tea,cookies,,,,,,,,,,,,,,,,,,
6498,energy bar,,,,,,,,,,,,,,,,,,,
3811,grated cheese,mineral water,butter,low fat yogurt,,,,,,,,,,,,,,,,
2327,spaghetti,,,,,,,,,,,,,,,,,,,
4204,mineral water,cake,,,,,,,,,,,,,,,,,,
5053,shrimp,spaghetti,vegetables mix,pancakes,frozen smoothie,mint,,,,,,,,,,,,,,
4496,spaghetti,eggs,,,,,,,,,,,,,,,,,,
5561,dessert wine,mineral water,milk,spinach,pancakes,eggs,champagne,,,,,,,,,,,,,
1095,french fries,frozen smoothie,,,,,,,,,,,,,,,,,,
5321,herb & pepper,chocolate,,,,,,,,,,,,,,,,,,
4740,almonds,pancakes,eggs,chocolate,french fries,mint,,,,,,,,,,,,,,
3238,shrimp,tomatoes,mineral water,flax seed,chicken,pancakes,frozen smoothie,,,,,,,,,,,,,
633,ground beef,mineral water,milk,eggs,,,,,,,,,,,,,,,,
5302,turkey,black tea,eggs,cookies,,,,,,,,,,,,,,,,
5680,burgers,ground beef,spaghetti,avocado,fresh bread,,,,,,,,,,,,,,,
2054,burgers,green tea,chocolate,,,,,,,,,,,,,,,,,
2691,french fries,,,,,,,,,,,,,,,,,,,
1664,muffins,french fries,frozen smoothie,,,,,,,,,,,,,,,,,
7069,ground beef,tomato sauce,mineral water,soup,salmon,green grapes,whole weat flour,frozen smoothie,,,,,,,,,,,,
5978,mineral water,champagne,hot dogs,cottage cheese,green tea,,,,,,,,,,,,,,,
1123,turkey,yams,whole wheat rice,cooking oil,brownies,,,,,,,,,,,,,,,
2577,turkey,grated cheese,frozen vegetables,mineral water,olive oil,salmon,nonfat milk,cooking oil,low fat yogurt,,,,,,,,,,,
3148,cookies,,,,,,,,,,,,,,,,,,,
3572,herb & pepper,tomatoes,mineral water,chocolate,soup,cooking oil,cereals,green tea,brownies,,,,,,,,,,,
7439,mineral water,cake,,,,,,,,,,,,,,,,,,
2169,ham,shrimp,mineral water,cider,,,,,,,,,,,,,,,,
1454,green tea,,,,,,,,,,,,,,,,,,,
4151,shrimp,tomatoes,mineral water,chicken,whole weat flour,cottage cheese,body spray,fresh bread,,,,,,,,,,,,
215,mineral water,french fries,,,,,,,,,,,,,,,,,,
5539,vegetables mix,french fries,,,,,,,,,,,,,,,,,,
6457,chicken,energy drink,,,,,,,,,,,,,,,,,,
6617,ground beef,mineral water,eggs,soda,low fat yogurt,,,,,,,,,,,,,,,
3953,burgers,ground beef,spaghetti,mineral water,oil,barbecue sauce,yogurt cake,low fat yogurt,,,,,,,,,,,,
111,french wine,eggs,chocolate,low fat yogurt,,,,,,,,,,,,,,,,
2801,burgers,fresh tuna,parmesan cheese,spaghetti,butter,vegetables mix,spinach,eggs,brownies,pancakes,light mayo,,,,,,,,,
6433,escalope,,,,,,,,,,,,,,,,,,,
5834,burgers,mineral water,chocolate,chicken,carrots,frozen smoothie,cottage cheese,,,,,,,,,,,,,
1555,chocolate bread,mushroom cream sauce,salt,,,,,,,,,,,,,,,,,
3086,red wine,yams,mineral water,soup,milk,cake,,,,,,,,,,,,,,
4678,mineral water,milk,energy bar,eggs,chocolate,frozen smoothie,,,,,,,,,,,,,,
6616,grated cheese,cookies,,,,,,,,,,,,,,,,,,
78,mint,,,,,,,,,,,,,,,,,,,
635,turkey,cookies,,,,,,,,,,,,,,,,,,
3044,chicken,brownies,asparagus,cauliflower,green tea,,,,,,,,,,,,,,,
2473,champagne,,,,,,,,,,,,,,,,,,,
6021,muffins,,,,,,,,,,,,,,,,,,,
1260,shrimp,mineral water,pancakes,clothes accessories,champagne,protein bar,,,,,,,,,,,,,,
5375,milk,pancakes,,,,,,,,,,,,,,,,,,
2810,cookies,,,,,,,,,,,,,,,,,,,
7280,french fries,mashed potato,,,,,,,,,,,,,,,,,,
5238,olive oil,,,,,,,,,,,,,,,,,,,
4993,mineral water,honey,light cream,chicken,mint,,,,,,,,,,,,,,,
3548,eggs,,,,,,,,,,,,,,,,,,,
7190,parmesan cheese,chicken,,,,,,,,,,,,,,,,,,
7492,burgers,salmon,pancakes,french fries,frozen smoothie,fresh bread,mint,,,,,,,,,,,,,
244,red wine,french wine,vegetables mix,rice,clothes accessories,hot dogs,green tea,,,,,,,,,,,,,
5416,burgers,champagne,cookies,brownies,green tea,,,,,,,,,,,,,,,
939,milk,low fat yogurt,,,,,,,,,,,,,,,,,,
5991,chocolate,escalope,,,,,,,,,,,,,,,,,,
6700,burgers,fromage blanc,honey,,,,,,,,,,,,,,,,,
3514,eggs,french fries,frozen smoothie,escalope,cottage cheese,,,,,,,,,,,,,,,
679,frozen vegetables,whole wheat pasta,ground beef,mineral water,chocolate,milk,olive oil,almonds,french wine,yogurt cake,fresh bread,,,,,,,,,
2043,mineral water,meatballs,pancakes,,,,,,,,,,,,,,,,,
6114,turkey,green tea,,,,,,,,,,,,,,,,,,
255,pancakes,eggs,salt,tomato juice,,,,,,,,,,,,,,,,
5647,shrimp,tomatoes,butter,antioxydant juice,green tea,escalope,,,,,,,,,,,,,,
7362,hot dogs,,,,,,,,,,,,,,,,,,,
6307,burgers,fresh tuna,tomatoes,fromage blanc,,,,,,,,,,,,,,,,
3240,turkey,shrimp,frozen vegetables,tomatoes,parmesan cheese,ground beef,spaghetti,mineral water,milk,vegetables mix,nonfat milk,green grapes,whole wheat rice,,,,,,,
928,sandwich,,,,,,,,,,,,,,,,,,,
5034,flax seed,french fries,,,,,,,,,,,,,,,,,,
6665,grated cheese,whole wheat pasta,mineral water,chocolate,milk,olive oil,french wine,,,,,,,,,,,,,
2984,pepper,,,,,,,,,,,,,,,,,,,
4504,french fries,,,,,,,,,,,,,,,,,,,
4694,burgers,cider,pancakes,french fries,green tea,,,,,,,,,,,,,,,
3039,shrimp,mineral water,milk,almonds,whole wheat rice,cooking oil,clothes accessories,green tea,,,,,,,,,,,,
2087,red wine,ground beef,spaghetti,blueberries,,,,,,,,,,,,,,,,
5075,eggs,green tea,hot dogs,cottage cheese,brownies,,,,,,,,,,,,,,,
4391,mineral water,honey,,,,,,,,,,,,,,,,,,
3684,chocolate,shrimp,whole wheat pasta,ground beef,milk,french fries,,,,,,,,,,,,,,
6899,french fries,escalope,pasta,mushroom cream sauce,green tea,,,,,,,,,,,,,,,
2281,chocolate,tomatoes,mineral water,cake,green tea,,,,,,,,,,,,,,,
2234,cookies,,,,,,,,,,,,,,,,,,,
5324,mineral water,french fries,,,,,,,,,,,,,,,,,,
7171,herb & pepper,mineral water,milk,whole wheat rice,salt,white wine,,,,,,,,,,,,,,
579,chocolate,pepper,tomato sauce,tomato juice,,,,,,,,,,,,,,,,
5841,eggs,whole wheat rice,cookies,,,,,,,,,,,,,,,,,
387,frozen vegetables,ground beef,mineral water,salmon,honey,extra dark chocolate,green tea,mushroom cream sauce,gluten free bar,,,,,,,,,,,
1153,pickles,herb & pepper,frozen vegetables,cider,eggs,brownies,pancakes,yogurt cake,green tea,,,,,,,,,,,
5756,mineral water,avocado,muffins,champagne,cookies,body spray,,,,,,,,,,,,,,
1662,cake,french fries,,,,,,,,,,,,,,,,,,
2107,green tea,,,,,,,,,,,,,,,,,,,
7401,grated cheese,mineral water,olive oil,escalope,white wine,,,,,,,,,,,,,,,
314,mineral water,honey,brownies,,,,,,,,,,,,,,,,,
4826,ground beef,honey,whole wheat rice,,,,,,,,,,,,,,,,,
5433,yams,,,,,,,,,,,,,,,,,,,
748,french fries,escalope,,,,,,,,,,,,,,,,,,
4187,turkey,eggs,,,,,,,,,,,,,,,,,,
967,herb & pepper,spaghetti,meatballs,milk,olive oil,chicken,honey,frozen smoothie,escalope,pancakes,,,,,,,,,,
4169,turkey,burgers,whole wheat pasta,chocolate,milk,olive oil,chicken,pancakes,cooking oil,green tea,,,,,,,,,,
4575,french fries,,,,,,,,,,,,,,,,,,,
3656,escalope,,,,,,,,,,,,,,,,,,,
7230,vegetables mix,cookies,mushroom cream sauce,hot dogs,,,,,,,,,,,,,,,,
3626,strong cheese,vegetables mix,french fries,green tea,,,,,,,,,,,,,,,,
2733,eggs,french fries,cookies,,,,,,,,,,,,,,,,,
5446,shrimp,parmesan cheese,olive oil,light cream,cooking oil,chicken,chili,extra dark chocolate,cottage cheese,brownies,pancakes,energy drink,salt,salad,magazines,,,,,
5382,burgers,mineral water,cookies,,,,,,,,,,,,,,,,,
5967,honey,french fries,green tea,,,,,,,,,,,,,,,,,
4114,tomatoes,milk,,,,,,,,,,,,,,,,,,
437,chocolate,cake,,,,,,,,,,,,,,,,,,
2685,turkey,chutney,,,,,,,,,,,,,,,,,,
3791,mineral water,milk,chocolate,,,,,,,,,,,,,,,,,
3422,grated cheese,shrimp,ground beef,mineral water,chocolate,salt,,,,,,,,,,,,,,
3480,chocolate,,,,,,,,,,,,,,,,,,,
6877,frozen smoothie,pancakes,,,,,,,,,,,,,,,,,,
4283,chocolate,frozen smoothie,cottage cheese,,,,,,,,,,,,,,,,,
653,frozen vegetables,soup,eggs,low fat yogurt,,,,,,,,,,,,,,,,
4737,eggs,whole wheat rice,french fries,champagne,escalope,,,,,,,,,,,,,,,
3788,milk,,,,,,,,,,,,,,,,,,,
5267,french wine,eggs,chicken,light mayo,,,,,,,,,,,,,,,,
1847,frozen vegetables,spaghetti,mineral water,soup,green grapes,eggs,cooking oil,oatmeal,,,,,,,,,,,,
1846,turkey,,,,,,,,,,,,,,,,,,,
361,whole wheat rice,chicken,tomato juice,,,,,,,,,,,,,,,,,
4097,clothes accessories,,,,,,,,,,,,,,,,,,,
906,french fries,light mayo,,,,,,,,,,,,,,,,,,
6687,frozen vegetables,mineral water,hot dogs,cauliflower,,,,,,,,,,,,,,,,
3269,mayonnaise,,,,,,,,,,,,,,,,,,,
4154,fresh tuna,mineral water,eggs,,,,,,,,,,,,,,,,,
1409,burgers,spaghetti,,,,,,,,,,,,,,,,,,
1611,turkey,red wine,ground beef,spaghetti,mineral water,milk,french wine,cereals,cottage cheese,yogurt cake,light mayo,tomato juice,,,,,,,,
6185,soda,white wine,,,,,,,,,,,,,,,,,,
5010,cake,french fries,cookies,champagne,low fat yogurt,,,,,,,,,,,,,,,
7404,chocolate,ground beef,butter,yogurt cake,,,,,,,,,,,,,,,,
6795,green tea,,,,,,,,,,,,,,,,,,,
5328,turkey,eggs,french fries,energy drink,,,,,,,,,,,,,,,,
5447,cake,body spray,,,,,,,,,,,,,,,,,,
7321,turkey,ground beef,pepper,mineral water,soup,meatballs,vegetables mix,oil,french fries,frozen smoothie,green tea,,,,,,,,,
3465,milk,eggs,,,,,,,,,,,,,,,,,,
3014,mineral water,olive oil,frozen smoothie,cookies,hot dogs,brownies,,,,,,,,,,,,,,
7395,mineral water,avocado,,,,,,,,,,,,,,,,,,
6447,green tea,,,,,,,,,,,,,,,,,,,
954,frozen vegetables,spaghetti,french fries,light mayo,green tea,,,,,,,,,,,,,,,
4908,frozen vegetables,soup,,,,,,,,,,,,,,,,,,
1981,olive oil,,,,,,,,,,,,,,,,,,,
3195,shrimp,milk,frozen smoothie,fresh bread,,,,,,,,,,,,,,,,
3317,ground beef,soup,bacon,pancakes,cooking oil,barbecue sauce,green tea,,,,,,,,,,,,,
4680,eggs,cake,gums,,,,,,,,,,,,,,,,,
6086,vegetables mix,nonfat milk,green grapes,cake,cookies,cottage cheese,brownies,fresh bread,green tea,,,,,,,,,,,
2048,chocolate,,,,,,,,,,,,,,,,,,,
1952,salt,fresh bread,,,,,,,,,,,,,,,,,,
5751,cereals,salad,,,,,,,,,,,,,,,,,,
7093,tomatoes,fromage blanc,chocolate,,,,,,,,,,,,,,,,,
5001,grated cheese,ground beef,mineral water,butter,vegetables mix,hand protein bar,green tea,,,,,,,,,,,,,
2255,milk,,,,,,,,,,,,,,,,,,,
2394,turkey,burgers,spaghetti,mineral water,chocolate,soup,avocado,milk,whole wheat rice,cake,brownies,pancakes,white wine,,,,,,,
6242,tomato sauce,spaghetti,tomato juice,fresh bread,,,,,,,,,,,,,,,,
5050,grated cheese,red wine,spaghetti,mineral water,whole wheat rice,cooking oil,chocolate,escalope,zucchini,,,,,,,,,,,
3730,pancakes,honey,barbecue sauce,,,,,,,,,,,,,,,,,
399,ground beef,spaghetti,,,,,,,,,,,,,,,,,,
160,butter,green tea,,,,,,,,,,,,,,,,,,
846,burgers,mineral water,olive oil,rice,antioxydant juice,frozen smoothie,,,,,,,,,,,,,,
3232,spaghetti,eggs,chocolate,,,,,,,,,,,,,,,,,
3305,frozen vegetables,,,,,,,,,,,,,,,,,,,
219,mineral water,tomato juice,,,,,,,,,,,,,,,,,,
4912,shrimp,ground beef,spaghetti,mineral water,,,,,,,,,,,,,,,,
3327,escalope,,,,,,,,,,,,,,,,,,,
6264,chocolate,french fries,escalope,,,,,,,,,,,,,,,,,
2153,milk,eggs,champagne,,,,,,,,,,,,,,,,,
560,energy bar,eggs,,,,,,,,,,,,,,,,,,
2802,turkey,burgers,grated cheese,almonds,cake,cooking oil,low fat yogurt,,,,,,,,,,,,,
1361,cookies,,,,,,,,,,,,,,,,,,,
4006,frozen vegetables,mineral water,milk,olive oil,eggs,chocolate,escalope,yogurt cake,,,,,,,,,,,,
4208,cookies,,,,,,,,,,,,,,,,,,,
3246,turkey,black tea,eggs,,,,,,,,,,,,,,,,,
4184,french fries,,,,,,,,,,,,,,,,,,,
1432,french fries,champagne,,,,,,,,,,,,,,,,,,
4133,cookies,,,,,,,,,,,,,,,,,,,
7364,honey,champagne,,,,,,,,,,,,,,,,,,
7020,muffins,pancakes,eggs,chocolate,french fries,escalope,green tea,,,,,,,,,,,,,
7202,frozen vegetables,pepper,spaghetti,mineral water,green beans,french fries,frozen smoothie,pancakes,low fat yogurt,,,,,,,,,,,
6992,spaghetti,,,,,,,,,,,,,,,,,,,
3277,champagne,frozen smoothie,,,,,,,,,,,,,,,,,,
5213,frozen vegetables,milk,green grapes,pancakes,tea,,,,,,,,,,,,,,,
1071,shrimp,spaghetti,black tea,eggs,cake,cookies,low fat yogurt,,,,,,,,,,,,,
1190,herb & pepper,ground beef,spaghetti,french fries,escalope,tomato juice,,,,,,,,,,,,,,
1561,frozen vegetables,mineral water,chicken,salmon,eggs,pancakes,light mayo,mint,,,,,,,,,,,,
716,spaghetti,mineral water,vegetables mix,eggs,whole wheat rice,fresh bread,,,,,,,,,,,,,,
591,energy bar,eggs,,,,,,,,,,,,,,,,,,
4743,eggs,,,,,,,,,,,,,,,,,,,
2014,cookies,,,,,,,,,,,,,,,,,,,
54,tomato sauce,light mayo,,,,,,,,,,,,,,,,,,
2546,pickles,tomatoes,spinach,french fries,,,,,,,,,,,,,,,,
329,mineral water,chicken,french fries,frozen smoothie,,,,,,,,,,,,,,,,
476,herb & pepper,shrimp,mineral water,pancakes,eggs,cake,blueberries,tea,frozen smoothie,,,,,,,,,,,
5234,tomato sauce,spaghetti,almonds,chicken,bug spray,oil,cooking oil,frozen smoothie,escalope,strawberries,tomato juice,,,,,,,,,
7044,cookies,,,,,,,,,,,,,,,,,,,
1131,milk,pancakes,,,,,,,,,,,,,,,,,,
5228,whole wheat rice,chocolate bread,antioxydant juice,,,,,,,,,,,,,,,,,
2020,tomatoes,eggs,chicken,chocolate bread,low fat yogurt,,,,,,,,,,,,,,,
1871,chocolate,red wine,spaghetti,,,,,,,,,,,,,,,,,
5252,herb & pepper,ground beef,honey,french fries,,,,,,,,,,,,,,,,
6606,burgers,frozen vegetables,whole wheat pasta,milk,green tea,,,,,,,,,,,,,,,
5726,burgers,milk,champagne,,,,,,,,,,,,,,,,,
905,red wine,shrimp,yams,eggs,burger sauce,yogurt cake,,,,,,,,,,,,,,
1704,spaghetti,milk,frozen smoothie,green tea,,,,,,,,,,,,,,,,
4787,burgers,grated cheese,french wine,eggs,carrots,salt,,,,,,,,,,,,,,
3941,pickles,cereals,green tea,,,,,,,,,,,,,,,,,
1426,turkey,eggs,frozen smoothie,,,,,,,,,,,,,,,,,
6434,eggs,fresh bread,green tea,,,,,,,,,,,,,,,,,
195,french fries,,,,,,,,,,,,,,,,,,,
466,tomatoes,almonds,cake,champagne,low fat yogurt,,,,,,,,,,,,,,,
4790,burgers,grated cheese,champagne,,,,,,,,,,,,,,,,,
5942,ground beef,spaghetti,mineral water,antioxydant juice,french fries,,,,,,,,,,,,,,,
5747,frozen vegetables,green tea,french fries,champagne,cookies,brownies,pancakes,,,,,,,,,,,,,
7148,olive oil,salmon,light cream,zucchini,,,,,,,,,,,,,,,,
4936,shrimp,spaghetti,milk,,,,,,,,,,,,,,,,,
358,mineral water,soup,,,,,,,,,,,,,,,,,,
2977,chocolate,olive oil,muffins,spinach,french fries,light mayo,green tea,,,,,,,,,,,,,
6374,eggs,cooking oil,eggplant,,,,,,,,,,,,,,,,,
1520,ground beef,mineral water,pancakes,,,,,,,,,,,,,,,,,
2957,escalope,pasta,,,,,,,,,,,,,,,,,,
1812,grated cheese,mineral water,eggs,extra dark chocolate,yogurt cake,mayonnaise,low fat yogurt,,,,,,,,,,,,,
735,soup,blueberries,cooking oil,chocolate,cookies,champagne,salt,,,,,,,,,,,,,
3292,meatballs,,,,,,,,,,,,,,,,,,,
529,protein bar,,,,,,,,,,,,,,,,,,,
264,turkey,milk,,,,,,,,,,,,,,,,,,
444,mineral water,fromage blanc,whole wheat rice,cake,french fries,,,,,,,,,,,,,,,
4206,cookies,,,,,,,,,,,,,,,,,,,
4801,champagne,,,,,,,,,,,,,,,,,,,
6179,spaghetti,,,,,,,,,,,,,,,,,,,
2831,ground beef,mineral water,milk,olive oil,eggs,extra dark chocolate,,,,,,,,,,,,,,
6912,whole wheat rice,hot dogs,,,,,,,,,,,,,,,,,,
5365,whole wheat pasta,yams,milk,eggs,champagne,,,,,,,,,,,,,,,
1022,chocolate,frozen vegetables,tomatoes,ground beef,tomato sauce,spaghetti,avocado,milk,olive oil,energy bar,whole wheat rice,cereals,green tea,,,,,,,
422,cookies,,,,,,,,,,,,,,,,,,,
3801,fresh tuna,grated cheese,mineral water,cake,blueberries,light cream,whole weat flour,french fries,escalope,,,,,,,,,,,
3052,burgers,frozen vegetables,mineral water,eggs,french fries,,,,,,,,,,,,,,,
7499,eggs,frozen smoothie,yogurt cake,low fat yogurt,,,,,,,,,,,,,,,,
5437,mineral water,chocolate,whole wheat rice,cake,whole weat flour,french fries,low fat yogurt,,,,,,,,,,,,,
2183,turkey,burgers,chocolate,spaghetti,vegetables mix,bug spray,chicken,chili,green tea,strawberries,babies food,tomato juice,fresh bread,,,,,,,
1309,burgers,butter,,,,,,,,,,,,,,,,,,
1494,cookies,,,,,,,,,,,,,,,,,,,
540,eggs,french fries,frozen smoothie,cookies,champagne,cottage cheese,green tea,,,,,,,,,,,,,
6918,french fries,,,,,,,,,,,,,,,,,,,
1854,turkey,spinach,,,,,,,,,,,,,,,,,,
7062,mineral water,whole wheat rice,bug spray,chicken,,,,,,,,,,,,,,,,
446,green tea,cottage cheese,,,,,,,,,,,,,,,,,,
2261,cake,barbecue sauce,escalope,,,,,,,,,,,,,,,,,
5077,red wine,whole wheat pasta,spaghetti,,,,,,,,,,,,,,,,,
4089,shrimp,milk,tomato juice,,,,,,,,,,,,,,,,,
7346,milk,vegetables mix,cottage cheese,pancakes,green tea,,,,,,,,,,,,,,,
7373,spaghetti,cider,whole wheat rice,cooking oil,escalope,,,,,,,,,,,,,,,
715,cookies,,,,,,,,,,,,,,,,,,,
3717,burgers,ground beef,chicken,whole weat flour,frozen smoothie,escalope,hot dogs,green tea,,,,,,,,,,,,
3170,chocolate,,,,,,,,,,,,,,,,,,,
5879,burgers,eggs,french fries,,,,,,,,,,,,,,,,,
6028,eggs,escalope,tomato juice,,,,,,,,,,,,,,,,,
7418,chocolate,escalope,energy drink,,,,,,,,,,,,,,,,,
5054,spaghetti,chutney,,,,,,,,,,,,,,,,,,
1490,cake,french fries,,,,,,,,,,,,,,,,,,
1707,tomatoes,burger sauce,chocolate,green tea,,,,,,,,,,,,,,,,
7247,pancakes,,,,,,,,,,,,,,,,,,,
4795,chocolate,cookies,,,,,,,,,,,,,,,,,,
3706,whole wheat pasta,olive oil,oil,clothes accessories,pasta,white wine,green tea,,,,,,,,,,,,,
7103,tomatoes,low fat yogurt,,,,,,,,,,,,,,,,,,
1917,grated cheese,red wine,tomato sauce,milk,french wine,whole wheat rice,whole weat flour,french fries,,,,,,,,,,,,
3451,salmon,cooking oil,carrots,,,,,,,,,,,,,,,,,
983,whole wheat rice,pancakes,,,,,,,,,,,,,,,,,,
6604,vegetables mix,energy drink,,,,,,,,,,,,,,,,,,
7318,yogurt cake,,,,,,,,,,,,,,,,,,,
5368,whole wheat pasta,olive oil,pancakes,,,,,,,,,,,,,,,,,
5070,cookies,,,,,,,,,,,,,,,,,,,
347,antioxydant juice,escalope,,,,,,,,,,,,,,,,,,
5764,low fat yogurt,,,,,,,,,,,,,,,,,,,
6308,honey,green tea,melons,,,,,,,,,,,,,,,,,
